public_class,object_name,public_anomaly,description,example_image_relpath,example_mask_relpath
class_01,resistor,anomaly_01,"Visual cue: same as standard color; irregular broken sections; body area; variable, depending on fragmentation extent; multiple fragments. Likely cause: mechanical stress or thermal shock leading to structural failure.",class_01/train/anomaly_01/img_fc359284dc993a4f6c1b_view1.png,class_01/ground_truth_train/anomaly_01/img_fc359284dc993a4f6c1b_view1.png
class_01,resistor,anomaly_02,Visual cue: same as standard color; depressed or hollowed area; body area; small to medium; one or multiple indentations. Likely cause: mechanical impact or pressure during handling or manufacturing.,class_01/train/anomaly_02/img_7287430a88dcd5fcaf8a_view1.png,class_01/ground_truth_train/anomaly_02/img_7287430a88dcd5fcaf8a_view1.png
class_01,resistor,anomaly_03,Localized visual anomaly affecting the object surface.,class_01/train/anomaly_03/img_07c6a98a2b5ef6c36653_view1.png,class_01/ground_truth_train/anomaly_03/img_07c6a98a2b5ef6c36653_view1.png
class_01,resistor,anomaly_04,Visual cue: same as standard color; linear or irregular mark; surface area; small; one or more scratches. Likely cause: mechanical abrasion during handling or assembly.,class_01/train/anomaly_04/img_6280d414abd8db5e91ea_view1.png,class_01/ground_truth_train/anomaly_04/img_6280d414abd8db5e91ea_view1.png
class_01,resistor,anomaly_05,"Visual cue: same as standard color, may have darker patch; irregular or blotchy; surface area; variable based on stain size; one or more stained areas. Likely cause: contamination during manufacturing or handling.",class_01/train/anomaly_05/img_85722831b9d360832d42_view1.png,class_01/ground_truth_train/anomaly_05/img_85722831b9d360832d42_view1.png
class_02,inductor,anomaly_01,"Visual cue: same as standard color; irregular fragments or pieces; body area; variable, often small to medium; one or more fragments. Likely cause: mechanical shock or stress during handling or assembly leading to material breakage.",class_02/train/anomaly_01/img_ac774fb0858481e6f65e_view1.png,class_02/ground_truth_train/anomaly_01/img_ac774fb0858481e6f65e_view1.png
class_02,inductor,anomaly_02,Localized visual anomaly affecting the object surface.,class_02/train/anomaly_02/img_66fb96b52fa0ca6af771_view1.png,class_02/ground_truth_train/anomaly_02/img_66fb96b52fa0ca6af771_view1.png
class_02,inductor,anomaly_03,Localized visual anomaly affecting the object surface.,class_02/train/anomaly_03/img_d2758ef1155c7fa47ae5_view1.png,class_02/ground_truth_train/anomaly_03/img_d2758ef1155c7fa47ae5_view1.png
class_02,inductor,anomaly_04,"Visual cue: same as standard block inductor color; raised or bulging; surface area; variable, depending on the extent of protrusion; one or more protrusions. Likely cause: manufacturing defects or mechanical stress causing surface deformation.",class_02/train/anomaly_04/img_5ff466eb47a270786682_view1.png,class_02/ground_truth_train/anomaly_04/img_5ff466eb47a270786682_view1.png
class_02,inductor,anomaly_05,Visual cue: same as standard block color; linear or jagged; surface area; small; one or more scratches. Likely cause: physical contact or improper handling during installation or transport.,class_02/train/anomaly_05/img_42833ce682fa1f7b74af_view1.png,class_02/ground_truth_train/anomaly_05/img_42833ce682fa1f7b74af_view1.png
